titre,url,date,categorie,chapeau
Mégafeux : la NASA et l’ESA ont frôlé la catastrophe pour leurs communications dans l’espace profond,https://www.numerama.com/sciences/2302031-megafeux-la-nasa-et-lesa-ont-frole-la-catastrophe-pour-leurs-communications-dans-lespace-profond.html,2026-07-27,sciences,
"« Nous n’avons pas de temps à perdre », le patron de Volkswagen appelle l’UE à taxer les hybrides rechargeables chinois",https://www.numerama.com/vroom/2302055-nous-navons-pas-de-temps-a-perdre-le-patron-de-volkswagen-appelle-lue-a-taxer-les-hybrides-rechargeables-chinois.html,2026-07-27,vroom,
Incendies en Gironde : les images satellites révèlent des nuages de fumée « quasi-inédits en France »,https://www.numerama.com/sciences/2301995-incendies-en-gironde-les-images-satellites-revelent-des-nuages-de-fumee-quasi-inedits-en-france.html,2026-07-27,sciences,
"J’ai essayé le DS N°7 : beaucoup de potentiel face aux Allemands, mais une base technique qui fait douter",https://www.numerama.com/vroom/2298113-jai-essaye-le-ds-n7-beaucoup-de-potentiel-face-aux-allemands-mais-une-base-technique-qui-fait-douter.html,2026-07-26,vroom,
Incendies en Gironde : la SNCF prolonge les échanges et remboursements gratuits des billets de train,https://www.numerama.com/vroom/2302281-incendies-en-gironde-la-sncf-prolonge-les-echanges-et-remboursements-gratuits-des-billets-de-train.html,2026-07-27,vroom,
RecordPy propose une carte mise à jour toutes les 10 minutes pour suivre les incendies en Gironde,https://www.numerama.com/sciences/2302189-incendies-en-gironde-recordpy-propose-une-carte-mise-a-jour-toutes-les-10-minutes-pour-suivre-les-feux.html,2026-07-27,sciences,
Apple lance AppleCare One en France : à quoi sert ce nouvel abonnement ?,https://www.numerama.com/tech/2302049-apple-lance-applecare-one-en-france-a-quoi-sert-ce-nouvel-abonnement.html,2026-07-27,tech,
"Varta, célèbre fabricant de piles, dépose le bilan après avoir perdu son contrat avec Apple",https://www.numerama.com/tech/2301971-varta-celebre-fabricant-de-piles-depose-le-bilan-apres-avoir-perdu-son-contrat-avec-apple.html,2026-07-27,tech,
Quatre modèles en deux mois : Anthropic lance Claude Opus 5 et coûte moins que GPT-5.6 Sol,https://www.numerama.com/tech/2301945-quatre-modeles-en-deux-mois-anthropic-lance-claude-opus-5-et-coute-moins-que-gpt-5-6-sol.html,2026-07-27,tech,
"Apple TV dévoile le trailer de Neuromancien, l’adaptation de l’œuvre qui a défini le cyberpunk",https://www.numerama.com/pop-culture/2302235-apple-tv-devoile-le-trailer-de-neuromancien-ladaptation-de-loeuvre-qui-a-defini-le-cyberpunk.html,2026-07-27,pop-culture,
La saison la plus violente de la série ? Reacher Saison 4 dévoile son trailer !,https://www.numerama.com/pop-culture/2302141-la-saison-la-plus-violente-de-la-serie-reacher-saison-4-devoile-son-trailer.html,2026-07-27,pop-culture,
Plus de 70 000 commandes : le groupe Volkswagen cartonne déjà avec ses citadines pas chères,https://www.numerama.com/vroom/2302263-plus-de-70-000-commandes-le-groupe-volkswagen-cartonne-deja-avec-ses-citadines-pas-cheres.html,2026-07-27,vroom,
"3,1 fois moins d’accidents : les taxis autonomes de Waymo conduisent mieux que vous",https://www.numerama.com/vroom/2301993-31-fois-moins-daccidents-les-taxis-autonomes-de-waymo-conduisent-mieux-que-vous.html,2026-07-27,vroom,
Ce pack de 4 balises Bluetooth Android est moins cher qu’un seul SmartTag de Samsung,https://www.numerama.com/tech/2302169-ce-pack-de-4-balises-bluetooth-android-est-moins-cher-quun-seul-smarttag-de-samsung.html,2026-07-27,tech,
"Les dates des prochains films Marvel sont là, jusqu’en 2028",https://www.numerama.com/pop-culture/2301983-le-calendrier-complet-des-films-marvel-a-venir-ca-sannonce-charge-entre-avengers-et-black-panther-3.html,2026-07-27,pop-culture,
Panique autour des conversations Claude indexées sur Google : ce qu’on a vraiment trouvé,https://www.numerama.com/cyberguerre/2302001-panique-autour-des-conversations-claude-indexees-sur-google-ce-quon-a-vraiment-trouve.html,2026-07-27,cyberguerre,
"On va avoir un jeu Resident Evil par an, mais il y a un mais",https://www.numerama.com/pop-culture/2301991-capcom-veut-sortir-un-jeu-resident-evil-par-an-et-mise-surtout-sur-des-remakes.html,2026-07-27,pop-culture,
"Starship : attendue depuis des lustres, la tentative inédite de la fusée géante est imminente",https://www.numerama.com/sciences/2301967-starship-attendue-depuis-des-lustres-la-tentative-inedite-de-la-fusee-geante-est-imminente.html,2026-07-27,sciences,
Test du Realme 16 Pro : une grosse batterie dans un smartphone étonnamment léger,https://www.numerama.com/tech/2299987-test-du-realme-16-pro-une-grosse-batterie-dans-un-smartphone-etonnamment-leger.html,2026-07-27,tech,
"Les IA d’OpenAI qui dérapent, une faille Linux trouvée par Claude et un million de VM patchées d’urgence chez OVHcloud : on vous raconte la semaine Cyberguerre",https://www.numerama.com/cyberguerre/2301581-les-ia-dopenai-qui-derapent-une-faille-linux-trouvee-par-claude-et-un-million-de-vm-patchees-durgence-chez-ovhcloud-on-vous-raconte-la-semaine-cyberguerre.html,2026-07-27,cyberguerre,
