libelle,cours,variation,volume,isin
ALTEN,79.75,19.39,191761,1rPATE
SOPRA STERIA,198.9,15.51,172947,1rPSOP
KERING,287.15,14.63,467017,1rPKER
BUREAU VERITAS,29.52,8.05,1208231,1rPBVI
ATOS GROUP,33.98,6.45,124269,1rPATO
MEDINCELL,26.52,5.07,119910,1rPMEDCL
VUSION,136.7,4.91,38154,1rPVU
CAPGEMINI,105.65,3.88,447555,1rPCAP
SEB,59.5,3.39,48091,1rPSK
GTT (GAZTRANSPORT ET TEC.),192.2,3.33,44367,1rPGTT
NEXANS,128.2,3.3,144711,1rPNEX
WENDEL,84.15,3.06,16741,1rPMF
RENAULT,27.86,2.62,433632,1rPRNO
TELEPERFORMANCE,61.54,2.57,101773,1rPTEP
STELLANTIS,5.2,2.54,3235885,1rPSTLAP
CLARIANE,4.062,2.42,102021,1rPCLARI
TOTALENERGIES,75.54,2.39,1273647,1rPTTE
DBV TECHNOLOGIES,2.426,2.28,442288,1rPDBV
ERAMET,43.02,1.99,16262,1rPERA
VIVENDI,2.024,1.96,477048,1rPVIV
MAUREL & PROM,8.08,1.96,87884,1rPMAU
VICAT,62.9,1.94,29040,1rPVCT
IPSOS,42.7,1.91,62031,1rPIPS
JCDECAUX,22.5,1.9,98373,1rPDEC
ARKEMA,58.2,1.84,94894,1rPAKE
BOLLORE SE,4.04,1.61,338242,1rPBOL
EURAZEO,46.74,1.43,23147,1rPRF
UBISOFT,5.552,1.42,441274,1rPUBI
MERSEN,34.52,1.29,24936,1rPMRN
ABIVAX,110.2,1.29,22549,1rPABVX
EDENRED,28.54,1.28,223410,1rPEDEN
FORVIA (EX FAURECIA),9.194,1.23,311698,1rPFRVIA
PUBLICIS GROUPE,94.78,1.0,256334,1rPPUB
VALNEVA,2.214,1.0,198025,1rPVLA
RUBIS,32.9,0.86,13751,1rPRUI
VALLOUREC,21.19,0.86,131640,1rPVK
TF1,7.095,0.85,117797,1rPTFI
PLUXEE,14.37,0.84,123497,1rPPLX
ENGIE,26.35,0.73,934585,1rPENGI
ADP,112.0,0.72,20334,1rPADP
OPMOBILITY,12.92,0.7,23851,1rPOPM
VIRIDIEN,79.5,0.63,23724,1rPVIRI
MERCIALYS,12.04,0.5,81243,1rPMERY
IPSEN,161.2,0.5,13978,1rPIPN
LVMH,472.5,0.47,258987,1rPMC
ICADE,19.59,0.36,45556,1rPICAD
VIRBAC,346.5,0.29,1208,1rPVIRP
SANOFI,79.6,0.28,476870,1rPSAN
ALSTOM,16.375,0.28,201356,1rPALO
INTERPARFUMS,24.22,0.25,29965,1rPITP
ELIS,25.84,0.23,35820,1rPELIS
SOCIETE GENERALE,77.0,0.03,278950,1rPGLE
MICHELIN,34.38,-0.23,354839,1rPML
L'OREAL,381.55,-0.35,96204,1rPOR
AIRBUS,211.1,-0.42,209534,1rPAIR
LEGRAND,128.6,-0.43,389726,1rPLR
VINCI,118.25,-0.46,142279,1rPDG
UNIBAIL-RODAMCO-WESTFIELD,105.3,-0.47,18578,1rPURW
BNP PARIBAS,107.64,-0.52,467428,1rPBNP
SAINT-GOBAIN,76.12,-0.57,285147,1rPSGO
BOUYGUES,46.25,-0.6,112237,1rPEN
SAFRAN,340.7,-0.67,224647,1rPSAF
EURONEXT,149.9,-0.73,54429,1rPENX
ACCOR,46.81,-0.89,48611,1rPAC
EUROFINS SCIENTIFIC,67.86,-0.96,42983,1rPERF
CARREFOUR,15.84,-1.0,494159,1rPCA
VEOLIA,35.26,-1.18,416582,1rPVIE
CREDIT AGRICOLE SA,18.44,-1.21,932718,1rPACA
AIR LIQUIDE,171.34,-1.27,185882,1rPAI
EIFFAGE,120.1,-1.31,41897,1rPFGRMC
AXA,44.96,-1.34,962379,1rPCS
PERNOD RICARD,66.82,-1.42,198391,1rPRI
DASSAULT SYSTEMES,20.67,-1.62,478506,1rPDSY
THALES,245.1,-1.68,113640,1rPHO
ORANGE,16.885,-1.69,1352894,1rPORA
SCHNEIDER ELECTRIC,257.0,-1.91,394050,1rPSU
STMICROELECTRONICS,43.445,-2.32,1123360,1rPSTMPA
ESSILORLUXOTTICA,163.7,-2.94,546125,1rPEL
DANONE,68.8,-4.76,909085,1rPBN
HERMES INTL,1499.5,-11.56,209312,1rPRMS
